Name	Version	Channel
CharLS.x86_64	1.0-5.el7	@epel
GConf2.x86_64	3.2.6-8.el7	@c7-media
GeoIP.x86_64	1.5.0-14.el7	@base
GeoIP-devel.x86_64	1.5.0-14.el7	@base
LibRaw.x86_64	0.14.8-5.el7.20120830git98d925	@c7-media
MegaCli.noarch	8.07.14-1	installed
ModemManager.x86_64	1.6.10-1.el7	@c7-media
ModemManager-glib.x86_64	1.6.10-1.el7	@c7-media
NetworkManager.x86_64	1:1.12.0-6.el7	@anaconda
NetworkManager-adsl.x86_64	1:1.12.0-6.el7	@c7-media
NetworkManager-glib.x86_64	1:1.12.0-6.el7	@c7-media
NetworkManager-libnm.x86_64	1:1.12.0-6.el7	@anaconda
NetworkManager-libreswan.x86_64	1.2.4-2.el7	@c7-media
NetworkManager-libreswan-gnome.x86_64	1.2.4-2.el7	@c7-media
NetworkManager-ppp.x86_64	1:1.12.0-6.el7	@c7-media
NetworkManager-team.x86_64	1:1.12.0-6.el7	@anaconda
NetworkManager-tui.x86_64	1:1.12.0-6.el7	@anaconda
NetworkManager-wifi.x86_64	1:1.12.0-6.el7	@c7-media
OpenIPMI-modalias.x86_64	2.0.23-2.el7	@base
PackageKit.x86_64	1.1.10-1.el7.centos	@c7-media
PackageKit-command-not-found.x86_64	1.1.10-1.el7.centos	@c7-media
PackageKit-glib.x86_64	1.1.10-1.el7.centos	@c7-media
PackageKit-gstreamer-plugin.x86_64	1.1.10-1.el7.centos	@c7-media
PackageKit-gtk3-module.x86_64	1.1.10-1.el7.centos	@c7-media
PackageKit-yum.x86_64	1.1.10-1.el7.centos	@c7-media
PyYAML.x86_64	3.10-11.el7	@c7-media
R.x86_64	3.6.0-1.el7	@epel
R-core.x86_64	3.6.0-1.el7	@epel
R-core-devel.x86_64	3.6.0-1.el7	@epel
R-devel.x86_64	3.6.0-1.el7	@epel
R-java.x86_64	3.6.0-1.el7	@epel
R-java-devel.x86_64	3.6.0-1.el7	@epel
SDL.x86_64	1.2.15-14.el7	@c7-media
SuperLU.x86_64	5.2.0-5.el7	@epel
abattis-cantarell-fonts.noarch	0.0.25-1.el7	@c7-media
abrt.x86_64	2.1.11-52.el7.centos	@c7-media
abrt-addon-ccpp.x86_64	2.1.11-52.el7.centos	@c7-media
abrt-addon-kerneloops.x86_64	2.1.11-52.el7.centos	@c7-media
abrt-addon-pstoreoops.x86_64	2.1.11-52.el7.centos	@c7-media
abrt-addon-python.x86_64	2.1.11-52.el7.centos	@c7-media
abrt-addon-vmcore.x86_64	2.1.11-52.el7.centos	@c7-media
abrt-addon-xorg.x86_64	2.1.11-52.el7.centos	@c7-media
abrt-cli.x86_64	2.1.11-52.el7.centos	@c7-media
abrt-console-notification.x86_64	2.1.11-52.el7.centos	@c7-media
abrt-dbus.x86_64	2.1.11-52.el7.centos	@c7-media
abrt-desktop.x86_64	2.1.11-52.el7.centos	@c7-media
abrt-gui.x86_64	2.1.11-52.el7.centos	@c7-media
abrt-gui-libs.x86_64	2.1.11-52.el7.centos	@c7-media
abrt-libs.x86_64	2.1.11-52.el7.centos	@c7-media
abrt-python.x86_64	2.1.11-52.el7.centos	@c7-media
abrt-retrace-client.x86_64	2.1.11-52.el7.centos	@c7-media
abrt-tui.x86_64	2.1.11-52.el7.centos	@c7-media
accountsservice.x86_64	0.6.50-2.el7	@c7-media
accountsservice-libs.x86_64	0.6.50-2.el7	@c7-media
acl.x86_64	2.2.51-14.el7	@anaconda
adcli.x86_64	0.8.1-6.el7	@c7-media
adobe-mappings-cmap.noarch	20171205-3.el7	@base
adobe-mappings-cmap-deprecated.noarch	20171205-3.el7	@base
adobe-mappings-pdf.noarch	20180407-1.el7	@base
adwaita-cursor-theme.noarch	3.28.0-1.el7	@c7-media
adwaita-gtk2-theme.x86_64	3.28-2.el7	@c7-media
adwaita-icon-theme.noarch	3.28.0-1.el7	@c7-media
adwaita-qt5.x86_64	1.0-1.el7	@c7-media
aic94xx-firmware.noarch	30-6.el7	@anaconda
alsa-firmware.noarch	1.0.28-2.el7	@anaconda
alsa-lib.x86_64	1.1.6-2.el7	@anaconda
alsa-plugins-pulseaudio.x86_64	1.1.6-1.el7	@c7-media
alsa-tools-firmware.x86_64	1.1.0-1.el7	@anaconda
alsa-utils.x86_64	1.1.6-1.el7	@c7-media
anaconda-core.x86_64	21.48.22.147-1.el7.centos	@c7-media
anaconda-gui.x86_64	21.48.22.147-1.el7.centos	@c7-media
anaconda-tui.x86_64	21.48.22.147-1.el7.centos	@c7-media
anaconda-widgets.x86_64	21.48.22.147-1.el7.centos	@c7-media
apache-commons-io.noarch	1:2.4-12.el7	@c7-media
apache-commons-lang.noarch	2.6-15.el7	@c7-media
apache-commons-logging.noarch	1.1.2-7.el7	@c7-media
appstream-data.noarch	7-20180614.el7	@c7-media
apr.x86_64	1.4.8-3.el7_4.1	@c7-media
apr-util.x86_64	1.5.2-6.el7	@c7-media
ar_mgr.x86_64	1.0-0.40.g32c9c85.45101	installed
armadillo.x86_64	8.600.1-2.el7	@epel
arpack.x86_64	3.1.3-2.el7	@epel
asciidoc.noarch	8.6.8-5.el7	@base
at.x86_64	3.1.13-24.el7	@c7-media
at-spi2-atk.x86_64	2.26.2-1.el7	@c7-media
at-spi2-atk-devel.x86_64	2.26.2-1.el7	@base
at-spi2-core.x86_64	2.28.0-1.el7	@c7-media
at-spi2-core-devel.x86_64	2.28.0-1.el7	@base
atk.x86_64	2.28.1-1.el7	@c7-media
atk-devel.x86_64	2.28.1-1.el7	@base
atkmm.x86_64	2.24.2-1.el7	@c7-media
atlas.x86_64	3.10.1-12.el7	@base
atomic-registries.x86_64	1:1.22.1-26.gitb507039.el7.centos	@extras
attr.x86_64	2.4.46-13.el7	@c7-media
audit.x86_64	2.8.4-4.el7	@anaconda
audit-libs.x86_64	2.8.4-4.el7	@anaconda
audit-libs-python.x86_64	2.8.4-4.el7	@c7-media
augeas-libs.x86_64	1.4.0-6.el7	@c7-media
authconfig.x86_64	6.2.8-30.el7	@anaconda
autoconf.noarch	2.69-11.el7	@base
autofs.x86_64	1:5.0.7-99.el7	@c7-media
autogen-libopts.x86_64	5.18-5.el7	@c7-media
automake.noarch	1.13.4-3.el7	@base
avahi.x86_64	0.6.31-19.el7	@c7-media
avahi-glib.x86_64	0.6.31-19.el7	@c7-media
avahi-gobject.x86_64	0.6.31-19.el7	@c7-media
avahi-libs.x86_64	0.6.31-19.el7	@c7-media
avahi-ui-gtk3.x86_64	0.6.31-19.el7	@c7-media
avalon-framework.noarch	4.3-10.el7	@c7-media
avalon-logkit.noarch	2.1-14.el7	@c7-media
axel.x86_64	2.4-9.el7	@epel
baobab.x86_64	3.28.0-2.el7	@c7-media
basesystem.noarch	10.0-7.el7.centos	@anaconda
bash.x86_64	4.2.46-31.el7	@anaconda
bash-completion.noarch	1:2.1-6.el7	@c7-media
bc.x86_64	1.06.95-13.el7	@c7-media
bea-stax-api.noarch	1.2.0-9.el7	@c7-media
beegfs-admon.x86_64	20:7.1.3-el7	@beegfs
beegfs-client.noarch	20:7.1.3-el7	@beegfs
beegfs-client-compat.noarch	20:7.1.3-el7	@beegfs
beegfs-client-devel.noarch	20:7.1.3-el7	@beegfs
beegfs-common.noarch	20:7.1.3-el7	@beegfs
beegfs-debuginfo.x86_64	20:7.1.3-el7	@beegfs
beegfs-helperd.x86_64	20:7.1.3-el7	@beegfs
beegfs-meta.x86_64	20:7.1.3-el7	@beegfs
beegfs-mgmtd.x86_64	20:7.1.3-el7	@beegfs
beegfs-mon.x86_64	20:7.1.3-el7	@beegfs
beegfs-storage.x86_64	20:7.1.3-el7	@beegfs
beegfs-utils.x86_64	20:7.1.3-el7	@beegfs
beegfs-utils-devel.noarch	20:7.1.3-el7	@beegfs
bind-libs.x86_64	32:9.9.4-72.el7	@c7-media
bind-libs-lite.x86_64	32:9.9.4-72.el7	@anaconda
bind-license.noarch	32:9.9.4-72.el7	@anaconda
bind-utils.x86_64	32:9.9.4-72.el7	@c7-media
binutils.x86_64	2.27-34.base.el7	@anaconda
